,Gutta,Obuolių- mėtų skonio gėrimas GUTTA FRESH,Apple-mint taste drink GUTTA FRESH,2 L,25.00,,4750009942202
,Gutta,Juodųjų ir raudonųjų serbentų gėrimas GUTTA FRESH,Blackcurrant and redcurrant drink GUTTA FRESH,2 L,25.00,,4750009942882
,Gutta,Mandarinų gėrimas su citrinų-žaliųjų citrinų skoniu GUTTA FRESH,Mandarin drink with lemon-lime taste GUTTA FRESH,2 L,25.00,,4750009942196
,Gutta,Negazuotas citrinų skonio gėrimas su juodosios arbatos ekstraktu “Ice Tea”,"Lemon taste drink with black tea extract ""Ice Tea""","1,5 L",20.00,,4750009573543
,Gutta,Negazuotas aviečių skonio gėrimas su juodosios arbatos ekstraktu “Ice Tea”,"Rasberry taste drink with black tea extract ""Ice Tea""","1,5 L",20.00,,4750009942004
,Gutta,Gazuotas gėrimas “Klasiškas limonadas”,"Carbonated drink ""Classic lemonade""","1,5 L",16.00,,4750009942929
,Gutta,Gazuotas gėrimas “Kriaušių limonadas”,"Carbonated drink ""Pear limonade""","1,5 L",16.00,,4750009942936
,CIDO Grupa,Pomidorų sultys iš koncentruotų sulčių Cido Selection,Tomatoe juice Cido Selection,1 L,16.00,,4750042300878
,CIDO Grupa,Raudonųjų apelsinų sultys Cido Selection,Red orange juice Cido Selection,1 L,16.00,,4750042303619
,CIDO Grupa,Granatų nektaras pagamintas iš koncentruotų sulčių Cido Selection,Pomegranate nectar Cido Selection,1 L,16.00,,4750042303336
,CIDO Grupa,Mangų nektaras pagamintas iš kocentruotos tyrės Cido Selection,Mango nectar Cido Selection,1 L,16.00,,4750042303411
,CIDO Grupa,Ananasų- kokosų sultys Cido Selection,Ananas- coconut juice Cido Selection,1 L,16.00,,4750042303312
,CIDO Grupa,Citrinų- žaliųjų citrinų sultys Cido,Lemon- lime juice Cido,1 L,16.00,,4750042303053
,CIDO Grupa,Bananų nektaras iš tyrės Cido,Banana nectar Cido,1 L,16.00,,4750042302698
,CIDO Grupa,Daržovių sultys iš koncentruotų sulčių Cido,Vegetable juice Cido,1 L,16.00,,4750042804338
,CIDO Grupa,Pomidorų sultys iš koncentruotų sulčių Cido,Tomatoe juice Cido,1 L,16.00,,4750042804222
,CIDO Grupa,Apelsinų sultys iš koncentruotų sulčių Cido,Orange juice Cido,1 L,16.00,,4750042804208
,CIDO Grupa,Įvairių vaisių sultys Cido,Multifruit juice Cido,1 L,16.00,,4750042300557
,Kubuš,"Morkų, žaliojo banano, obuolių ir kivio sultys KUBUŠ","Carrot, green banana, apple and kiwi juice KUBUŠ",0.9,15.00,,5901067484039
,Kubuš,"Morkų, banano ir obuolių sultys KUBUŠ","Carrot, banana and apple juice KUBUŠ",0.9,15.00,,5901067451079
,Kubuš,"Banano, obuolių ir persikų sultys KUBUŠ","Banana, apple and peach juice KUBUŠ",0.9,15.00,,5901067454070
,Kubuš,"Morkų, obuolių ir apelsinų sultys KUBUŠ","Carrot, apple and orange juice KUBUŠ",0.9,15.00,,5901067446075
,Kubuš,"Morku, persikų ir obuolių sultys KUBUŠ","Carrot, peach and apple juice KUBUŠ",0.9,15.00,,5901067455077
,Kubuš,"Morkų, aviečių ir obuolių sultys KUBUŠ","Carrot, rasberry and apple juice KUBUŠ",0.9,15.00,,5901067447072
,Kubuš,"Morkų, obuolių, banano ir braškių sultys KUBUŠ","Carrot, apple, banana and strawberry juice KUBUŠ",0.9,15.00,,5901067434034
,Kubuš,"Bananų, morkų ir obuolių sultys KUBUŠ","Banana, carrot and apple juice KUBUŠ",0.3,7.00,,5901067451024
,Kubuš,"Morkų, persikų ir obuolių sultys KUBUŠ","Carrot, peach and apple juice KUBUŠ",0.3,7.00,,5901067455022
,Kubuš,"Morkų, aviečių ir obuolių sultys KUBUŠ","Carrot, rasberry and apple juice KUBUŠ",0.3,7.00,,5901067447027
,Kubuš,"Morkų, obuolų ir apelsinų sultys KUBUŠ","Carrot, apple and orange juice KUBUŠ",0.3,7.00,,5901067446020
,Rasa,Ananasų-persikų skonio gaivusis negazuotas gėrimas RASA su cukru ir saldikliu,Pineapple-peach taste drink RASA,"1,5 L",,,4770063224311
,Rasa,Ivairių vaisių skonio gaivusis negazuotas gėrimas RASA su cukru ir saldikliu,Different fruits taste drink RASA,"1,5 L",,,4770063224298
,Magnum,Įvairių vaisių ir morkų sulčių nektaras su minkštumu,Different fruits and carrot juice drink,1.5,22.00,,4779031610040
,Magnum,Daržovių sultys,Vegetables juice,1.5,22.00,,
,Magnum,Pomidorų sultys su druska ir pipirais 100%,Tomatoe juice with salt and pepper 100%,1.5,22.00,,
,Magnum,Burokėlių ir obuolių sultys100%,Beetroot and apple juice 100%,1.5,22.00,,
,Magnum,Uogų Morsas,Berry mors,1.5,22.00,,4779031610118
,Magnum,Beržų sula silpnai pasaldinta,Birch sap slightly sweetened,1.5,22.00,,
,Magnum,Beržų sula su mėtomis,Birch sap with mint,1.5,22.00,,
,Magnum,Beržų sula su citrina,Birch sap with lemon,1.5,22.00,,
,,Pomidorų sultys stiklainyje,Tomatoe juice,3,40.00,,4770143224927
,Big Fruit,Slyvų nektaras su minštimu,Plum nectar,3,49.00,,4770143221698
,Big Fruit,Obuolių ir juodųjų serbentų sultys,Apple and blackberry juice,3,49.00,,4770143221995
,Ernesto Balčiūno ūkis,Obuolių sultys,Apple juice,5,55.00,,4779032890106
,Natūralūs gėrimai ir KO,Gazuotas aromatizuotas gaivusis gėrimas TARCHUNAS su saldikliais,Flavored carbonated soft drink with sweeteners TARCHUNAS,3 L,20.00,,4770346223437
,Livonia,Nealkoholinis gazuotas mango ir persikų skonio gėrimas “DŽIUNGLĖS”,"Non-alcoholic sparkling mango and peach flavor drink ""JUNGLE""",0.75,35.00,,4750108005143
,Livonia,Nealkoholinis gazuotas žemuogių skonio gėrimas “DŽIUNGLĖS”,"Non-alcoholic sparkling strawberry flavor drink ""JUNGLE""",0.75,35.00,,4750108005167
,Livonia,Nealkoholinis gazuotas obuolių ir kriaušių skonio gėrimas “DŽIUNGLĖS”,"Non-alcoholic sparkling apple and pear flavor drink ""JUNGLE""",0.75,35.00,,4750108005419
,ALEO,"Gaivusis alavijaus sulčių gėrimas ""Aleo Premium""","Aloe Vera drink ""Aleo Premium""",500ml,25.00,,4779040220612
,Frutico,Slyvų kompotas,Plum compot,879 (390),25.00,,5902267003402
,Fresh Point,Vyšnių kompotas be kauliukų,Cherry compot without seed,720 (350),22.00,,5999503851880
,ŠALDYTI MAISTO PRODUKTAI,,,,,,
,,SŪRELIAI,FROZEN SWEET COTTAGE CHEESE,kg,,,EAN code
,Vikeda,Glaistytas šokoladinis varškės sūrelis,,,6.00,,
,Vikeda,Glaistytas vanilinis varškės sūrelis,,,6.00,,
,Vikeda,Glaistytas sūrelis su želė gabaliukais,,,6.00,,
,Vikeda,Glaistytas braškinis varškės sūrelis ,,,6.00,,
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su vanile,PASAKA frozen cottage cheese with vanilla,40g,6.00,,
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su avietėmis ir šokolado gabaliukais,PASAKA frozen cottage cheese with rasberry and chocolate pieces,40g,6.00,,4770265046322
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su aguonom,PASAKA frozen cottage cheese with poppy,40g,6.00,,4770265043598
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su šokolado gabaliukais,PASAKA frozen cottage cheese with chocolate pieces,40g,6.00,,4770265043550
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su želė gabaliukais,PASAKA frozen cottage cheese with jelly pieces,40g,6.00,,4770265043468
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis paukščių pieno skonio,PASAKA frozen cottage cheese with bird milk taste,40g,6.00,,4770265048579
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis su sutirštintu pienu,PASAKA frozen cottage cheese with condenced milk,40g,6.00,,
,Pieno žvaigždės,PASAKA glaistytas varškės sūrelis vanilinis su jogurto gaistu,PASAKA frozen cottage cheese vanilla with yogurt glazed,40g,6.00,,
,Pieno žvaigždės,"PASAKA glaistytas varškės sūrelis su šokolado gabaliukais ""Belgišku šokoladu""",,40g,6.00,,4770265212079
,Pieno žvaigždės,"PASAKA glaistytas varškės sūrelis su vanilinu ""Jogurtiniu glaistu""",,40g,6.00,,4770265000492
,Pieno žvaigždės,JO glaistytas sūrelis su sausainiu ir juodųjų serbentų įdaru,JO frozen cottage cheese with biscuit and blackcurrant filling,40g,6.00,,4770265043932
,Pieno žvaigždės,JO glaistytas sūrelis su sausainiu ir kondensuotu pienu,JO frozen cottage cheese with biscuit and condenced milk filling,40g,6.00,,4770265048586
,Pieno žvaigždės,JO glaistytas sūrelis su sausainiu ir karameliniu įdaru,JO frozen cottage cheese with biscuit and caramel filling,40g,6.00,,4770265043925
,Pieno žvaigždės,JO glaistytas sūrelis su vyšnių įdaru,JO frozen cottage cheese with cherry filling,40g,6.00,,4770265050459
,Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su vanile,NYKŠTUKAS frozen cottage cheese with vanilla,45g,6.00,,4770237043519
,Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su kondensuotu pienu,NYKŠTUKAS frozen cottage cheese with condenced milk,45g,6.00,,
,Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su šokoladu ir šokolado gabaliukais,NYKŠTUKAS frozen cottage cheese with chocolate and chocolate pieces,45g,6.00,,4770237043298
,Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su karamele,NYKŠTUKAS frozen cottage cheese with caramel,45g,6.00,,
,Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su braškėmis,NYKŠTUKAS frozen cottage cheese with strawberries,45g,6.00,,4770237043564
,Pieno žvaigždės,NYKŠTUKAS glaistytas varškės sūrelis su aguonomis,NYKŠTUKAS frozen cottage cheese with poppy seeds,45g,6.00,,
,Pieno žvaigždės,SMILGA glaistytas varškės sūrelis maskarponės ir kepintų migdolų skonio,SMILGA frozen cottage cheese with mascarpone and roasted almond taste,40g,6.00,,4770237050791
,Pieno žvaigždės,SMILGA glaistytas varškės sūrelis kiaušinių likerio ir kepintų migdolų skonio,SMILGA frozen cottage cheese with egg liqueur and roasted almonds taste,40g,6.00,,4770237050814
,Pieno žvaigždės,SMILGA glaistytas varškės sūrelis šokolado ir kepintų migdolų skonio,SMILGA frozen cottage cheese with chocolate and roasted almonds taste,40g,6.00,,4770237050807
,Pieno žvaigždės,SMILGA glaistytas varškės sūrelis karamelės ir kepintų migdolų skonio,SMILGA frozen cottage cheese with caramel and roasted almonds taste,40g,6.00,,4770237050784
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su kakava ir šokolado gabaliukais,MAGIJA frozen cottage cheese with cacao and chocolate pieces,45g,6.00,,4770299047463
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su vanile,MAGIJA frozen cottage cheese with vanilla,45g,6.00,,4770299394321
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su aguonomis,MAGIJA frozen cottage cheese with poppy seeds,45g,6.00,,4770175046504
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su kokosu,MAGIJA frozen cottage cheese with cocos,45g,6.00,,4770175046139
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su žėlė gabaliukais,MAGIJA frozen cottage cheese with jelly pieces,45g,6.00,,4770299046756
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su kakava ir karamelizuotais lazdyno riešutais,MAGIJA frozen cottage cheese with cocoa & caramelized hazelnuts,45g,6.00,,4770299395922
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su spanguolių įdaru,MAGIJA frozen cottage cheese with cranberry filling,45g,6.00,,4770299395939
,Žemaitijos pienas,MAGIJA glaistytas varškės sūrelis su riešutų- moliūgų sėklų įdaru,MAGIJA frozen cottage cheese with pumpkin & hazelnuts filling,45g,6.00,,4770299395915
,Žemaitijos pienas,MAGIJA Šeimai (4 sūreliai vienoje pakuotėje),MAGIJA for family frozen cottage cheese with (4 in 1),4x45g,20.00,,4770299046633
,Žemaitijos pienas,LANKŲ glaistytas desertas su aguonomis,LANKŲ curd dessert with poppy seeds,35g,5.00,,4770299393683
,Žemaitijos pienas,LANKŲ glaistytas desertas su želė gabaliukais,LANKŲ curd dessert with jelly pieces,35g,5.00,,4770299393690
,Žemaitijos pienas,PINAS glaistytas varškės sūrelis su želė gabalukais,PINAS frozen cottage cheese with poppy seeds,40g,6.00,,4770299394253
,Žemaitijos pienas,PINAS glaistytas varškės sūrelis su kakava ir šokolado gabaliukais,PINAS frozen cottage cheese with cacao and chocolate pieces,40g,6.00,,4770299394246
,Žemaitijos pienas,PINAS varškės sūrelis- obuolių pyragas,PINAS frozen cottage cheese- apple pie,100g,10.00,,4770299394369
,Žemaitijos pienas,PINAS varškės sūrelis- burboninė vanilė,PINAS frozen cottage cheese with raisins,100g,10.00,,4770299394376
,Žemaitijos pienas,PINAS varškės sūrelis su razinomis,PINAS frozen cottage cheese with poppy seeds,100g,10.00,,4770299394352
,Žemaitijos pienas,Desertinė varškė SOTI plombyro skonio,Frozen cottage cheese SOTI vanilla taste,180,18.00,,4770299046299
,Varėnos pienelis,DADU glaistytas varškės sūrelis vanilinis,DADU frozen cottage cheese vanilla,40g,6.00,,4770166219269
,Varėnos pienelis,DADU glaistytas varškės sūrelis braškinis,DADU frozen cottage cheese strawberry,40g,6.00,,4770166219283
,Varėnos pienelis,DADU glaistytas varškės sūrelis šokoladinis,DADU frozen cottage cheese chocolate,40g,6.00,,4770166219276
,Uriga,Užšaldytas glaistytas varškės sūrelis su vanilinu,Frozen cottage cheese vanilla,40g,6.00,,4770269041217
,Uriga,Užšaldytas glaistytas varškės sūrelis su spanguolių uoginės įdaru,Frozen cottage cheese with cranberry jam filling,40g,6.00,,4770269041279
,Uriga,Užšaldytas glaistytas varškės sūrelis su aguonomis,Frozen cottage cheese with poppy seeds,40g,6.00,,4770269041225
,Pieno žvaigždės,"Varškės sūrelis ""Rytas"" su vanile",Frozen cottage cheese RYTAS with vanilla,100g,10.00,,4770237043793
,Pieno žvaigždės,"Varškės sūrelis ""Rytas"" su razinomis",Frozen cottage cheese RYTAS with raisins,100g,10.00,,4770237043786
,,VARŠKĖ,CURD,kg,,,EAN code
,Pieno žvaigždės,Varškė DVARO liesa,Curd DVARO (no fat),250g,16.00,,4770265046698
,Pieno žvaigždės,Varškė DVARO 9%,Curd DVARO 9%,250g,16.00,,4770265046681
,Pieno žvaigždės,Varškė DVARO 15%,Curd DVARO 15%,250g,20.00,,4770265046674
,Žematijos pienas,Varškė pusriebė 9%,Curd 9%,~400g,27.00,,2578277004
,Žematijos pienas,"Varškė liesa 0,5%",Curd 0.5%,~350,22.00,,2578278003
,Žematijos pienas,"Varškė lankų, pusriebė 9%","Curd LANKŲ, 9%",200g,13.00,,4770299046541
,,KITI ŠALDYTI PIENO PRODUKTAI,OTHER FROZEN PRODUCTS,kg,,,EAN code
,Žemaitijos,Žemaitiškas kastinys,Žemaitijos sour cream-butter,200g,18.00,,4770299043236
,Žemaitijos,Sviestas 82% rieb.,Butter 82% fat,200g,19.00,,4770299045186
,Svalia,"Lietuviškas sviestas, 82%",,200g,18.00,,4770275045353
,Pieno žvaigždės,"Sviestas DVARO, 82%",,200g,19.00,,4770275045216
,Žematijos pienas,“Lankų” fas. 72%,LANKŲ butter 72%,200g,15.00,,4770299045100
,Žematijos pienas,“Šeimininkės” fas. 66%,"ŠEIMININKĖS butter, 66%",100g,11.00,,4770299045063
,Pieno žvaigždės,72% TRM „Saulutė“ fas.,,200g,18.00,,4770299045049
,Pieno žvaigždės,72% TRM „Saulutė“ fas. Sūdytas,,200g,18.00,,4770299045018
,,ŠALDYTOS UOGOS/ GRYBAI/ DARŽOVĖS,FROZEN VEGETABLES/ BERRIES/ MUSHROOMS,kg,,,EAN code
,Vėtrija,Mėlynės (greitai užšaldytos),Blueberries,400g,25.00,,4771634070856
,Vėtrija,Asorti kompotui,Assorti for compot,1 kg,49.00,,4771634070238
,Vėtrija,Juodieji serbentai,Blackcurrants,1 kg,59.00,,4771634070252
,Vėtrija,Spanguolės,Cranberries,1 kg,64.00,,4771634070382
,Tandemus,Spanguolės (greitai užšaldytos),Cranberries,1 kg,64.00,,4779034420875
,Tandemus,Užšaldytas miško grybų mišinys,Frozen forest mushrooms mix,1 kg,115/kg,,4779034420493
,Vėtrija,Užšaldytas daržovių mišinys kepimui,Frozen stir-fry vegetables,400g,20.00,,4771634070542
,,KITA,OTHERS,kg,,,EAN code
,Lietuvos kepėjas,Mielinė sluoksniuota tešla (4 lapeliai),Yeast dough layered (4 sheets),400g,16.00,,4742696001492
,Mantinga,Mielinė sluoksniuota tešla (5 lapeliai),Yeast dough layered (5 sheets),500g,30.00,,4771033471124
,Skonio Paslaptis,Sušaldyti skryliai “Populiarūs”,"Frozen pancakes ""Popular""",500g,18.00,,4770511211214
,Liūtukas ir Ko,Šaldyta mielinė tešla,Frozen yeast dough,1kg,30.00,,4770090194281
,,ŠALDYTI DESERTAI,FROZEN DESERTS,kg,,,EAN code
,Lietuvos kepėjas,Napoleono pyragas,Napoleon cake,400g,29.00,,4742696000310
,Lietuvos kepėjas,Mėlynių pyragas,Blackcurrant cake,350g,36.00,,4742696001331
,Lietuvos kepėjas,Prancūziškas varškės pyragas,French cottage cheese cake,320g,29.00,,4742696000686
,Lietuvos kepėjas,Varškės vyniuotinis,Cottage cheese roll,300g,32.00,,4742696001454
,Lietuvos kepėjas,"Obuolių, bruknių pyragas","Apple, cranberry pie",850g,89.00,,4742696002789
,Lietuvos kepėjas,Sluoksniuotas tešlos kreminis pyragas,Puff pastry cream pie,450g,56.00,,4770635196022
,Biržų duona,"Sausainiai ""Profiteroles""","Biscuits ""Profiteroles""",250g,21.00,,4770078192261
,Biržų duona,"Prancūziški skanėstai ""Kanelės""",French canelles,160g,25.00,,4770078193701
,Mantinga,"Itališkas sumuštinis su vištiena, paprika ir mango padažu","Italian sandwich with chicken, paprika and mango sauce",200g,26.00,,4779031271838
,Mantinga,"Itališkas sumuštinis su kumpiu, sūriu ir aštriu padažu","Italian sandwich with ham, cheese and hot sauce",200g,26.00,,4779031271845
,Mantinga,Panini sumuštinis su vištiena ir sūriu,Panini sandwich with chicken and cheese,240g,30.00,,4771033488214
,Mantinga,Panini sumuštinis su kumpiu ir aštriu padažu,Panini sandwich with ham and hot sauce,240g,30.00,,4771033486319
,,LEDAI,ICE CREAM,kg,,,EAN code
,Premia,Grietininiai karamėlės skonio ledai ant pagaliuko “Karvutė”,"Cream caramel ice cream on a stick ""Cow""",60g,10.00,,4770167462855
,Rigas Pienas Komb,Ekselence. Glaistyti grietininiai karameliniai ledai su karamelės padažu ir pieniniu šokoladu,,95g,18.00,,4750025890198
,Rigas Pienas Komb,Ekselence. Glaistyti grietininiai karameliniai ledai su vyšnių padažu ir pieniniu šokoladu,,95g,18.00,,4750025890105
,Vikeda,PLOMBIR šokoladinis plombyras,,200g,13.00,,
,Vikeda,PLOMBIR vanilinis plombyras,,200g,13.00,,
,Vikeda,Karameliniai ledai DADU su įdaru ir karameliniu glaistu vafliniame indelyje,,65g (120ml),10.00,,4770166219580
,Vikeda,Vanilės skonio plombyras DADU Numeris 1 vafliniame indelyje,,65g (120ml),10.00,,4770166219634
,Vikeda,Šokoladinis plombyras DADU su šokolado gabaliukais vafliniame indelyje,,65g (120ml),10.00,,4770166219535
,Vikeda,Klevų sulos skonio ledai DADU su graikiniais rieš. ir klevų sulos įdaru vafliniame indelyje,,65g (120ml),10.00,,4770166219597
,Vikeda,Bananų skonio ledai DADU su šokoladiniu įdaru vafliniame indelyje,,65g (120ml),10.00,,4770166219566
,Vikeda,Vaniliniai ledai DADU su miško uogų įdaru vafliniame indelyje,,65g (120ml),10.00,,4770166219542
,Vikeda,Vaniliniai ledai DADU su braškių įdaru vafliniame indelyje,,65g (120ml),10.00,,4770166219559
,Vikeda,Ledai DADU obuolių ir vyšnių skonio šerbetas vafliniame indelyje,,65g (120ml),10.00,,4770166219573
,Vikeda,Ledai DADU vanilės skonio plombyras be laktozės vafliniame indelyje,,65g (120ml),10.00,,4770166219689
,Vikeda,persikiniai su avietiniu įdaru ir persikų gab,,65g (120ml),10.00,,
,Vikeda,ledai DADU “Tukas” karamelės skonio,,65g (120ml),10.00,,4770166219634
,Vikeda,DADU LUXURY vanilla dark chocolate coated with almonds,,105g,16.00,,
,Vikeda,DADU LUXURY vanilla milk chocolate coated,,105g,16.00,,
,Vikeda,Karamelės skonio ledai su karameliniu įdaru vafliniame ragelyje,,110g,12.00,,4770166219368
,Vikeda,Valgomieji ledai DADU vanilės skonio plombyras vafliniame ragelyje,,110g,12.00,,4770166219375
,Vikeda,Valgomieji ledai DADU spanguolių skonio su spanguolių įdaru vafliniame ragelyje,,110g,12.00,,4770166219344
,Vikeda,Valgonieji ledai DADU su obuolių ir cinamono įdaru,,490g,40.00,,4770166219443
,Vikeda,Valgomieji ledai DADU maskarponės skonio su bruknių įdaru,,450g,40.00,,4770166219436
,Vikeda,Valgomieji ledai DADU šokoladiniai su juodojo šokolado gabaliukais,,425g,40.00,,4770166219412
,Vikeda,"Valgomieji ledai DADU karameliniai su karamelės įdaru ir smulkintais, kepintais migdolais",,467g,40.00,,4770166219405
,Vikeda,Valgomieji ledai DADU klevų sulos skonio su graikiniais riešutais ir klevų sulos skonio įdaru,,450g,40.00,,4770166219429
,Vikeda,Valgomieji ledai DADU FAMILY karamelės skonio,,750ml,?,,4770166216367
,Vikeda,Vaniliniai ledai dėžutėje,,900 ml,35.00,,
,Vikeda,COLLECTION maskarponės skonio su bruknių įdaru,,500g,25.00,,
,Vikeda,COLLECTION klevų sulos su graikiniais riešutais,,500g,25.00,,
,Vikeda,COLLECTION irisų skonio su Montelimar įdaru / Дульче с начинокй Монтелимар,,500g,25.00,,
,Unilever Lietuva Distr.,Grietininiai ledai KARALIŠKI su rome mirkytomis razinomis ir kakaviniu įdaru,,69g,12.00,,4770071217930
,Unilever Lietuva Distr.,Grietininiai ledai KARALIŠKI su rome mirkytomis razinomis ir kakaviniu įdaru,,1000ml,55.00,,4770071213345
,Unilever Lietuva Distr.,Grietininiai ledai KARALIŠKI su karamelės įdaru ir lazdynų riešutias,,1000ml,55.00,,4770071213147
,Unilever Lietuva Distr.,Legendinis plombyras KARALIŠKI,,1000ml,55.00,,4770071217978
,,KOLDŪNAI,,kg,,,EAN code
,Judex,"""Dzūkų"" koldūnai su mėsa (KLASICHESKIE)",,400g,27.00,,
,Judex,Koldūnai su vištienos blaudelių mėsa,,500g,30.00,,4770274485105
,Judex,Koldūnai su jautienos įdaru,,1 kg,57.00,,4770274194229
,Judex,"""Pikantiški"" koldūnai",,500g,35.00,,
,Judex,“Kaimiški” koldūnai su mėsos įdaru,,1 kg,45.00,,4770274193604
,Judex,"""Kauno"" koldūnai",,500g,30.00,,
,Judex,"""Bajorų"" koldūnai",,400g,30.00,,
,Judex,"""Studentiški"" koldūnai",,1 kg,45.00,,4770274191334
,Judex,"""Močiutės"" koldūnai",,300g,22.00,,
,Judex,“Sibirietiški” koldūnai,,500g,30.00,,4770274483477
,Judex,“Sibirietiški” koldūnai,,2 kg ,110.00,,4770274483484
,Judex,“Tradiciniai” koldūnai su mėsos įdaru (su vištiena),,500g,30.00,,4770274483415
,Judex,“Ukrainietiški” koldūnai su mėsos įdaru (su jautiena ir kiauliena),,500g,30.00,,4770274483392
,Judex,“Kaimiški” koldūnai su mėsos įdaru (su vištiena),,500g,30.00,,4770274482531
,Judex,“Vanka” koldūnai sibirietiški,,2 kg ,110.00,,4770274482647
,Judex,Koldūnai su kiauliena ,,1.75 kg,100.00,,4770274484283
,Judex,"Koldūnai ""Mamos"" su mėsos įdaru",,"1,75 kg",90.00,,4770274483972
,Judex,"Koldūnai ""Liux"" su kiaulienos įdaru",,"1,75 kg",90.00,,4770274484283
,Judex,“Uralskie” koldūnai,,500g,30.00,,
,Judex,“Sibirskie” koldūnai,,400g,27.00,,4770274482999
,Judex,“Russkie” koldūnai,,400g,27.00,,4770274482975
,Judex,“Jubiliejiniai” koldūnai su kiauliena,,"0,5",35.00,,4770274485099
,Judex,“Elitnyje” koldūnai su jautiena ir vištiena,,1 kg,100.00,,4770274484382
,Judex,“Grafskije” koldūnai su vištiena,,1 kg,100.00,,4770274484320
,Judex,“Zastolnyje” koldūnai,,1 kg,100.00,,4770274485129
,Judex,"""Tėviškės"" koldūnai",,500g,20.00,,4770274192188
,Judex,“Skazka” koldūnai,,800g,45.00,,4770274485235
,Viči,"TRADITIONAL. Koldūnai su jautiena, termiškai apdoroti, šaldyti",,400g,35.00,,4770190077835
,Viči,"STYLE MODERN. Koldunai su vištiena, sūriu ir baravykais, termiškai apdoroti, šaldyti",,400g,30.00,,4770190077873
,Viči,"STYLE MODERN. Koldūnai su lašiša, šaldyti",,400g,30.00,,4770190077859
,Viči,"STYLE ASIAN. Koldūnai su aštriomis daržovėmis, termiškai apdoroti, šaldyti",,400g,30.00,,4770190078719
,Viči,"STYLE ASIAN. Koldūnai su daržovėmis, termiškai apdoroti, šaldyti",,400g,35.00,,4770190078702
,Viči,STYLE ASIAN. Koldūnai su daržovėmis ir kiauliena,,400g,30.00,,4770190078726
,Viči,Koldūnai su kauliena,,400g,30.00,,
,Viči,Koldūnai su kiauliena ir darzovėm,,400g,35.00,,
,Viči,Koldūnai su varške,,300g,25.00,,
,Viči,"Koldūnai su vištiena ir juodaisiais grybais ""Fungus""",Dumplings with chicken and black fungus,400g,40.00,,4770190092951
,Viči,Koldūnai su lašiša ir sūriu,Dumplings with salmon and cheese,400g,40.00,,?
,Liūtukas ir Ko,Koldūnai su avienos įdaru,,700g,30.00,,4770090195530
,Liūtukas ir Ko,Koldūnai su mėsos įdaru (naminiai),,500g,18.00,,4770090192010
,Liūtukas ir Ko,Koldūnai ypatingieji su mėsos įdaru,,700g,25.00,,4770090192881
,Liūtukas ir Ko,Koldūnai Karališkieji su mėsos įdaru,,800g,35.00,,4770090192775
,Liūtukas ir Ko,"Koldūnai ""Sim Sim"" su kalakutiena",,400g,19.00,,4770090196629
,Liūtukas ir Ko,"""Bogatyrskije"" koldūnai",,800g,32.00,,4770090193437
,Liūtukas ir Ko,"Koldūnai ""Gimtinės"" su mėsos įdaru","Frozen dumplings ""Homeland"" with meat stuffing",1 kg,30.00,,4770090193550
,Liūtukas ir Ko,Koldūnai XL su mėsos įdaru,Frozen dumplings XL with meat stuffing ,"1,5 kg",40.00,,4770090194076
,Liūtukas ir Ko,Ekologiški koldūnai su jautienos įdaru,Ecological dumplings with beef filling,400g,35.00,,4770090194670
,Liūtukas ir Ko,Ekologiški koldūnai su bulvių įdaru,Ecological dumplings with potato filling,400g,25.00,,4770090194694
,Liūtukas ir Ko,Ekologiški koldūnai su varškės įdaru,Ecological dumplings with curd filling,400g,35.00,,4770090194687
,Uvic,“Ivan” koldūnai su mėsos ir česnakų įdaru,,500g,30.00,,4740223001502
,,VIRTINIAI,,kg,,,EAN code
,Judex,Virtiniai su bulvių ir rūkytos šoninės įdaru,,500g,25.00,,4770274482913
,Judex,Virtiniai su bulvių ir grybų įdaru,,500g,25.00,,4770274482470
,Judex,Virtiniai su varške,,500g,25.00,,
,Judex,"Virtiniai ""Tinginiai""",,500g,25.00,,4770274483460
,Judex,Virtiniai su varške ir razinomis,,500g,22.00,,4770274484610
,Judex,Virtiniai su bulvėmis ir svogūnais,Frozen dumplings with potato and onion filling,500g,25.00,,4770274484627
,Viči,"Virtiniai “Tapu lapu” su varške, termiškai apdoroti, šaldyti",,300g,25.00,,4770190083614
