,TAMSIOS RUGINĖS DUONOS ,DARK RYE BREAD,kg,"Price, DKK",EAN code,TYPE
Vikeda,persikiniai su avietiniu įdaru ir persikų gab,peach with raspberry filling and peach gab,65g (120ml),10.00,,ICE CREAM
Vikeda,ledai DADU “Tukas” karamelės skonio,"Ice Cream dadu ""Tukas"" caramel flavor",65g (120ml),10.00,4770166219634,ICE CREAM
Vikeda,DADU LUXURY vanilla dark chocolate coated with almonds,DADU LUXURY vanilla with dark chocolate coated almonds,105g,16.00,,ICE CREAM
Vikeda,DADU LUXURY vanilla milk chocolate coated,DADU LUXURY vanilla milk chocolate coated,105g,16.00,,ICE CREAM
Vikeda,Karamelės skonio ledai su karameliniu įdaru vafliniame ragelyje,Caramel ice cream with caramel filling waffle handset,110g,12.00,4770166219368,ICE CREAM
Vikeda,Valgomieji ledai DADU vanilės skonio plombyras vafliniame ragelyje,Ice cream DADU vanilla ice cream in a waffle handset,110g,12.00,4770166219375,ICE CREAM
Vikeda,Valgomieji ledai DADU spanguolių skonio su spanguolių įdaru vafliniame ragelyje,Ice cream DADU cranberry with cranberry filling waffle handset,110g,12.00,4770166219344,ICE CREAM
Vikeda,Valgonieji ledai DADU su obuolių ir cinamono įdaru,Valgonieji DADU ice cream with apple and cinnamon filling,490g,40.00,4770166219443,ICE CREAM
Vikeda,Valgomieji ledai DADU maskarponės skonio su bruknių įdaru,Ice cream DADU mascarpone flavored with cranberry stuffing,450g,40.00,4770166219436,ICE CREAM
Vikeda,Valgomieji ledai DADU šokoladiniai su juodojo šokolado gabaliukais,Ice cream DADU chocolate with dark chocolate chips,425g,40.00,4770166219412,ICE CREAM
Vikeda,"Valgomieji ledai DADU karameliniai su karamelės įdaru ir smulkintais, kepintais migdolais","Ice cream DADU caramel with caramel filling and chopped, roasted almonds",467g,40.00,4770166219405,ICE CREAM
Vikeda,Valgomieji ledai DADU klevų sulos skonio su graikiniais riešutais ir klevų sulos skonio įdaru,Ice cream DADU maple syrup flavored with walnuts and maple syrup flavored filling,450g,40.00,4770166219429,ICE CREAM
Vikeda,Valgomieji ledai DADU FAMILY karamelės skonio,Ice cream DADU FAMILY caramel flavor,750ml,?,4770166216367,ICE CREAM
Vikeda,Vaniliniai ledai dėžutėje,Vanilla ice cream,900 ml,35.00,,ICE CREAM
Vikeda,COLLECTION maskarponės skonio su bruknių įdaru,COLLECTION mascarpone flavored with cranberry stuffing,500g,25.00,,ICE CREAM
Vikeda,COLLECTION klevų sulos su graikiniais riešutais,COLLECTION maple syrup with walnuts,500g,25.00,,ICE CREAM
Vikeda,COLLECTION irisų skonio su Montelimar įdaru / Дульче с начинокй Монтелимар,COLLECTION toffee flavor with Montelimar filling / Дульче с начинокй Монтелимар,500g,25.00,,ICE CREAM
Unilever Lietuva Distr.,Grietininiai ledai KARALIŠKI su rome mirkytomis razinomis ir kakaviniu įdaru,Ice cream royally with rum soaked raisins and cocoa filling,69g,12.00,4770071217930,ICE CREAM
Unilever Lietuva Distr.,Grietininiai ledai KARALIŠKI su rome mirkytomis razinomis ir kakaviniu įdaru,Ice cream royally with rum soaked raisins and cocoa filling,1000ml,55.00,4770071213345,ICE CREAM
Unilever Lietuva Distr.,Grietininiai ledai KARALIŠKI su karamelės įdaru ir lazdynų riešutias,Kingly ice cream with caramel filling and hazelnuts,1000ml,55.00,4770071213147,ICE CREAM
Unilever Lietuva Distr.,Legendinis plombyras KARALIŠKI,Legendary ice royally,1000ml,55.00,4770071217978,ICE CREAM
,KOLDŪNAI,DUMPLINGS,kg,,EAN code,
Judex,"""Dzūkų"" koldūnai su mėsa (KLASICHESKIE)",Dzūkų dumplings with meat (KLASICHESKIE),400g,27.00,,DUMPLINGS
Judex,Koldūnai su vištienos blaudelių mėsa,Dumplings with chicken meat blaudelių,500g,25.00,4770274485105,DUMPLINGS
Judex,Koldūnai su jautienos įdaru,Dumplings stuffed with beef,1 kg,57.00,4770274194229,DUMPLINGS
Judex,"""Pikantiški"" koldūnai","Piquant ""dumplings",500g,35.00,,DUMPLINGS
Judex,“Kaimiški” koldūnai su mėsos įdaru,Rustic dumplings stuffed with meat,1 kg,35.00,4770274193604,DUMPLINGS
Judex,"""Kauno"" koldūnai",Kaunas dumplings,500g,30.00,,DUMPLINGS
Judex,"""Bajorų"" koldūnai",Nobility dumplings,400g,30.00,,DUMPLINGS
Judex,"""Studentiški"" koldūnai",Student' dumplings,1 kg,40.00,4770274191334,DUMPLINGS
Judex,"""Močiutės"" koldūnai",Grandma dumplings,300g,22.00,,DUMPLINGS
Judex,“Sibirietiški” koldūnai,The Siberian dumplings,500g,25.00,4770274483477,DUMPLINGS
Judex,“Sibirietiški” koldūnai,The Siberian dumplings,2 kg ,90.00,4770274483484,DUMPLINGS
Judex,“Tradiciniai” koldūnai su mėsos įdaru (su vištiena),Traditional dumplings stuffed with meat (chicken),500g,30.00,4770274483415,DUMPLINGS
Judex,“Ukrainietiški” koldūnai su mėsos įdaru (su jautiena ir kiauliena),Ukrainian dumplings stuffed with meat (beef and pork),500g,30.00,4770274483392,DUMPLINGS
Judex,“Kaimiški” koldūnai su mėsos įdaru (su vištiena),Rustic dumplings stuffed with meat (chicken),500g,20.00,4770274482531,DUMPLINGS
Judex,“Vanka” koldūnai sibirietiški,Vanka the Siberian dumplings,2 kg ,90.00,4770274482647,DUMPLINGS
Judex,Koldūnai su kiauliena ,Dumplings with pork,1.75 kg,90.00,4770274484283,DUMPLINGS
Judex,"Koldūnai ""Mamos"" su mėsos įdaru","Dumplings ""Mother"" stuffed with meat","1,75 kg",90.00,4770274483972,DUMPLINGS
Judex,"Koldūnai ""Liux"" su kiaulienos įdaru","Dumplings ""Liux with pork stuffing","1,75 kg",90.00,4770274484283,DUMPLINGS
Judex,“Uralskie” koldūnai,Uralsky dumplings,500g,30.00,,DUMPLINGS
Judex,“Sibirskie” koldūnai,Sibirsky dumplings,400g,28.00,4770274482999,DUMPLINGS
Judex,“Russkie” koldūnai,Russkie dumplings,400g,28.00,4770274482975,DUMPLINGS
Judex,“Jubiliejiniai” koldūnai su kiauliena,Jubilee dumplings with pork,"0,5",35.00,4770274485099,DUMPLINGS
Judex,“Elitnyje” koldūnai su jautiena ir vištiena,Elitnyje dumplings with beef and chicken,1 kg,100.00,4770274484382,DUMPLINGS
Judex,“Grafskije” koldūnai su vištiena,Grafskije dumplings with chicken,1 kg,100.00,4770274484320,DUMPLINGS
Judex,“Zastolnyje” koldūnai,Zastolnyje dumplings,1 kg,100.00,4770274485129,DUMPLINGS
Judex,"""Tėviškės"" koldūnai",Homeland dumplings,500g,20.00,4770274192188,DUMPLINGS
Judex,“Skazka” koldūnai,Skazka dumplings,800g,45.00,4770274485235,DUMPLINGS
Viči,"TRADITIONAL. Koldūnai su jautiena, termiškai apdoroti, šaldyti","TRADITIONAL. Dumplings with beef, cooked, frozen",400g,35.00,4770190077835,DUMPLINGS
Viči,"STYLE MODERN. Koldunai su vištiena, sūriu ir baravykais, termiškai apdoroti, šaldyti","MODERN STYLE. Dumplings with chicken, cheese and boletus mushrooms, pre-cooked, frozen",400g,30.00,4770190077873,DUMPLINGS
Viči,"STYLE MODERN. Koldūnai su lašiša, šaldyti","MODERN STYLE. Dumplings with salmon, frozen",400g,30.00,4770190077859,DUMPLINGS
Viči,"STYLE ASIAN. Koldūnai su aštriomis daržovėmis, termiškai apdoroti, šaldyti","ASIAN STYLE. Dumplings with spicy vegetables, pre-cooked, frozen",400g,30.00,4770190078719,DUMPLINGS
Viči,"STYLE ASIAN. Koldūnai su daržovėmis, termiškai apdoroti, šaldyti","ASIAN STYLE. Dumplings with vegetables, pre-cooked, frozen",400g,35.00,4770190078702,DUMPLINGS
Viči,STYLE ASIAN. Koldūnai su daržovėmis ir kiauliena,ASIAN STYLE. Dumplings with vegetables and pork,400g,30.00,4770190078726,DUMPLINGS
Viči,Koldūnai su kauliena,Dumplings with kauliena,400g,30.00,,DUMPLINGS
Viči,Koldūnai su kiauliena ir darzovėm,Dumplings with pork and vegetables,400g,35.00,,DUMPLINGS
Viči,Koldūnai su varške,Dumplings with curd,300g,25.00,,DUMPLINGS
Viči,"Koldūnai su vištiena ir juodaisiais grybais ""Fungus""",Dumplings with chicken and black fungus,400g,40.00,4770190092951,DUMPLINGS
Viči,Koldūnai su lašiša ir sūriu,Dumplings with salmon and cheese,400g,40.00,?,DUMPLINGS
Liūtukas ir Ko,Koldūnai su avienos įdaru,Dumplings with lamb filling,700g,30.00,4770090195530,DUMPLINGS
Liūtukas ir Ko,Koldūnai su mėsos įdaru (naminiai),Dumplings stuffed with meat (poultry),500g,18.00,4770090192010,DUMPLINGS
Liūtukas ir Ko,Koldūnai ypatingieji su mėsos įdaru,Particular dumplings stuffed with meat,700g,25.00,4770090192881,DUMPLINGS
Liūtukas ir Ko,Koldūnai Karališkieji su mėsos įdaru,Royal dumplings stuffed with meat,800g,35.00,4770090192775,DUMPLINGS
Liūtukas ir Ko,"Koldūnai ""Sim Sim"" su kalakutiena","Dumplings ""Sim Sim with turkey",400g,19.00,4770090196629,DUMPLINGS
Liūtukas ir Ko,"""Bogatyrskije"" koldūnai",Bogatyrskije dumplings,800g,32.00,4770090193437,DUMPLINGS
Liūtukas ir Ko,"Koldūnai ""Gimtinės"" su mėsos įdaru","Frozen dumplings ""Homeland"" with meat stuffing",1 kg,30.00,4770090193550,DUMPLINGS
Liūtukas ir Ko,Koldūnai XL su mėsos įdaru,Frozen dumplings XL with meat stuffing ,"1,5 kg",40.00,4770090194076,DUMPLINGS
Liūtukas ir Ko,Ekologiški koldūnai su jautienos įdaru,Ecological dumplings with beef filling,400g,35.00,4770090194670,DUMPLINGS
Liūtukas ir Ko,Ekologiški koldūnai su bulvių įdaru,Ecological dumplings with potato filling,400g,25.00,4770090194694,DUMPLINGS
Liūtukas ir Ko,Ekologiški koldūnai su varškės įdaru,Ecological dumplings with curd filling,400g,35.00,4770090194687,DUMPLINGS
Uvic,“Ivan” koldūnai su mėsos ir česnakų įdaru,"""Ivan"" dumplings with meat and garlic stuffing",500g,30.00,4740223001502,DUMPLINGS
,VIRTINIAI,,kg,,EAN code,
Judex,Virtiniai su bulvių ir rūkytos šoninės įdaru,Dumplings with potatoes and bacon filling,500g,22.00,4770274482913,DUMPLINGS
Judex,Virtiniai su bulvių ir grybų įdaru,Dumplings with potatoes and mushrooms,500g,25.00,4770274482470,DUMPLINGS
Judex,Virtiniai su varške,Dumplings with cottage cheese,500g,22.00,,DUMPLINGS
Judex,"Virtiniai ""Tinginiai""","Dumplings ""toed""",500g,30.00,4770274483460,DUMPLINGS
Judex,Virtiniai su varške ir razinomis,Dumplings with cottage cheese and raisins,500g,22.00,4770274484610,DUMPLINGS
Judex,Virtiniai su bulvėmis ir svogūnais,Frozen dumplings with potato and onion filling,500g,25.00,4770274484627,DUMPLINGS
Viči,"Virtiniai “Tapu lapu” su varške, termiškai apdoroti, šaldyti","Dumplings ""Tapu sheet"" with cottage cheese, cooked, frozen",300g,25.00,4770190083614,DUMPLINGS
Ramvida,“Močiutės” virtiniai su varškės įdaru,Grandma dumplings with curd,500g,25.00,4779027600277,DUMPLINGS
Uvic,“Ivan” virtinukai su vyšniomis,Ivan dumplings with cherries,500g,25.00,4740223001717,DUMPLINGS
Uvic,“Ivan” virtiniai su bulvėmis ir grybais,Ivan dumplings stuffed with potatoes and mushrooms,500g,25.00,4740223001786,DUMPLINGS
Liūtukas ir Ko,Virtiniai su bulvių įdaru,Frozen dumplings with potatoe stuffing,500g,18.00,4770090192072,DUMPLINGS
Liūtukas ir Ko,Virtiniai SIM SIM su varškės įdaru,Frozen dumplings SIM SIM with curd filling,400g,19.00,4770090194359,DUMPLINGS
Liūtukas ir Ko,Virtiniai su grybų įdaru,Frozen dumplings with mushroom filling,400g,20.00,4770090192423,DUMPLINGS
,DIDŽKUKULIAI/ CEPELINAI/ BULVIŲ KUKULIAI/ ŽEMAIČIŲ BLYNAI,,kg,,EAN code,
Judex,Tarkuotų bulvių didžkukuliai su mėsos įdaru (su kiauliena),,500g,30.00,4770274191037,DUMPLINGS
Judex,"Tarkuotų bulvių cepelinai ""Mamos""",,800g,45.00,4770274483989,DUMPLINGS
Judex,Tarkuotų bulvių cepelinai su mėsos įdaru,,200g,18.00,4770274485228,DUMPLINGS
Judex,Virtų bulvių cepelinai su mėsa,,500g,30.00,4770274191051,DUMPLINGS
Judex,Virtų bulvių cepelinai su varške,,500g,25.00,4770274192041,DUMPLINGS
Liūtukas ir Ko,Cepelinai su mėsos įdaru,Frozen potatoe dumplings with meat filling,500g,22.00,4770090192119,DUMPLINGS
Liūtukas ir Ko,"Cepelinai ""Kaimiški"" su mėsa","Frozen country potato dumplings ""Cepelinai"" with meat",1kg,40.00,4770090193482,DUMPLINGS
Liūtukas ir Ko,Virtų bulvių cepelinai su varškės įdaru,"Frozen boiled-potato dumplings ""Cepelinai"" with curd stuffing",500g,22.00,4770090192126,DUMPLINGS
Liūtukas ir Ko,Užšaldyti bulvių kukuliai su mėsos įdaru,Frozen potato balls with meat filling,500g,20.00,4770090192201,DUMPLINGS
Judex,"""Žemaičių"" blynai su mėsos įdaru",,500g,28.00,4770274191020,DUMPLINGS
Judex,"""Žemaičių"" blynai su grybais",,500g,28.00,4770274193055,DUMPLINGS
Liūtukas ir Ko,Žemaičių blynai su mėsos įdaru,Frozen potato pancakes with meat filling,700g,29.00,4770090192928,DUMPLINGS
Liūtukas ir Ko,Bulviniai blynai su rūkyta šonine,Frozen potato pancakes with bacon,400g,20.00,4770090195752,DUMPLINGS
Liūtukas ir Ko,Šaldytos bulvinės lazdelės su sūrio įdaru,Frozen potatoe sticks with cheese stuffing,400g,20.00,4770090192638,DUMPLINGS
,ČEBURĖKAI/ BALANDĖLIAI/ KIBINAI/ APKEPĖLĖS,ČEBURĖKAI,kg,,EAN code,
Judex,Čeburėkai,ČEBUREKAS,400g,25.00,4770274191044,ČEBURĖKAI
Judex,Čeburėkai (dideli) su mėsos įdaru,ČEBUREKAS (large) stuffed with meat,600g,45.00,4770274482968,ČEBURĖKAI
Judex,Keptas čeburėkas su mėsos įdaru,Fried ČEBUREKAS stuffed with meat,150g,10.00,4770274483422,ČEBURĖKAI
Judex,“Mini” čeburėkai su mėsa,Mini ČEBUREKAS with meat,1 kg,35.00,nėra barkodo,ČEBURĖKAI
Kogus,Mini čeburekai su mėsos įdaru,Mini chebureki stuffed with meat,780g,29.00,4770553191055,ČEBURĖKAI
Kolumbo,Kepti mini čeburekai su vištienos įdaru,Bake mini chebureki with chicken filling,500g,26.00,4770119210824,ČEBURĖKAI
Kolumbo,Kepti mini čeburekai su mėsos įdaru,Bake mini chebureki stuffed with meat,500g,30.00,4770119210558,ČEBURĖKAI
Mantinga,dvaro rukytas suris,Manor smoked cheese,130g,10.00,4771033486067,ČEBURĖKAI
Liūtukas ir Ko,Šaldytas keptas čeburekas su mėsa,Frozen baked pasties with meat,130g,10.00,4770090195943,ČEBURĖKAI
Judex,Balandėliai su mėsa,Cabbage rolls with meat,450g,25.00,4770274191068,ČEBURĖKAI
Tavijuta,Balandėliai su mėsa,Cabbage rolls with meat,400g,22.00,4770452194041,ČEBURĖKAI
Liūtukas ir Ko,Balandėliai su mėsos įdaru,Cabbage stuffed with meat,450g,25.00,4770274191068,ČEBURĖKAI
Mantinga,Itališka apkepėlė su vištiena,Italian Snack with Chicken,125g,12.00,4771033486128,ČEBURĖKAI
,LIETINIAI/ BLYNAI,CREPES,kg,,EAN code,
Judex,Lietiniai su mėsa,Pancakes with meat,400g,22.00,4770274191150,CREPES
Judex,Lietiniai su ryžių ir vištienos įdaru,Pancakes with rice and chicken filling,400g,22.00,4770274483941,CREPES
Judex,Lietiniai su bulvėmis ir grybais,Pancakes with potatoes and mushrooms,400g,22.00,4770274483934,CREPES
Judex,Lietiniai su karamelizuoto pieno (RUDUDU) įdaru,Pancakes with caramelized milk (RUDUDU) filling,400g,22.00,4770274484436,CREPES
Judex,Lietiniai su varške,Pancakes with cottage cheese,400g,22.00,4770274192119,CREPES
Judex,Lietiniai su varške ir razinomis,Pancakes with cottage cheese and raisins,400g,22.00,4770274483798,CREPES
Judex,Lietiniai su oboulių įdaru,Pancakes with malic filling,400g,22.00,4770274484429,CREPES
Judex,Lietiniai su vyšnių įdaru,Pancakes with cherry filling,400g,22.00,,CREPES
Judex,Lietiniai su varškės ir abrikosų džemo įdaru,Pancakes with cottage cheese and apricot jam filling,400g,22.00,4770274484412,CREPES
Ariols,Lietiniai su rūkyta šonine ir sūriu “Zemnieku”,"Pancakes with bacon and cheese ""Zemnieku""",500g,25.00,4750499000598,CREPES
,ŠALDYTI MĖSOS PRODUKTAI,FROZEN MEAT PRODUCTS,kg,,EAN code,
Biovela,Marinuotas kiaulienos šašlykas,Marinated pork shashlik,900g,59.00,,FROZEN MEAT PRODUCTS
Biovela,"Marinuota Kiaulenos šoninė su įvairiaspalviais pipirais, sušaldyta","Of swine marinated flank with multicolored peppers, frozen",500g,65.00,2408147405043,FROZEN MEAT PRODUCTS
Biovela,"Marinuotas Vakaro šašlykas iš kaulienos, sušaldytas","Marinated evening barbecue from kaulienos, frozen",700g,68.00,4770081167461,FROZEN MEAT PRODUCTS
Biovela,"Marinuotas Kaukazo šašlykas pagamintas iš kiaulienos sprandinės, sušaldytas","Marinated Caucasian shashlik made from pork, frozen",700g,68.00,4770081166709,FROZEN MEAT PRODUCTS
Biovela,Matinuota kiaulienos sprandine kepama su pakuote,Matinuota pork baked with packaging,~700g,105.00,,FROZEN MEAT PRODUCTS
Biovela,Marnuota kiaulienos mente kepama su pakuote,Marnuota pork shoulder baked with packaging,~800g,85.00,,FROZEN MEAT PRODUCTS
Biovela,Marinuota kiaulienos sonine kepama su pakuote,Marinated pork bacon baked with packaging,~600g,85.00,,FROZEN MEAT PRODUCTS
Biovela,Marinuota kiaulienos nugarine kepama su pakuote,Marinated pork tenderloin baked with packaging,~800g,110.00,,FROZEN MEAT PRODUCTS
Biovela,Marinuota karka kepama su pakuote,Marinated shank baked with packaging,~1100g,78.00,,FROZEN MEAT PRODUCTS
Biovela,Keptas Lietuviškas karbonadas,Fried pork Lithuanian,310g,39.00,4770118403074,FROZEN MEAT PRODUCTS
Biovela,Keptas Kijevo kotletas pagamintas iš vištienos file,Fried Chicken Kiev made of chicken fillet,140g,10.00,4770118403050,FROZEN MEAT PRODUCTS
Biovela,Kepti kijevo kotletai,Fried Chicken Kiev,560g,99.00,,FROZEN MEAT PRODUCTS
Biovela,Kepti Mamos kotletai pagaminti iš kiaulienos,Bake Mother meatballs made from pork,360g,22.00,4770118403036,FROZEN MEAT PRODUCTS
Biovela,Kepti Mamos kukuliai,Fried dumplings Mothers,300g,22.00,,FROZEN MEAT PRODUCTS
Biovela,Keptas Kiaulienos šnicelis,Fried pork schnitzel,280g,25.00,4770118403081,FROZEN MEAT PRODUCTS
Biovela,Hamburgeriai,Hamburgers,500g,68.00,,FROZEN MEAT PRODUCTS
Romega,"Viščiukų broilerių sparneliai, A kl","Broiler chicken wings, A grade",?,33.00,2555131006905,FROZEN MEAT PRODUCTS
Romega,"Viščiukų broilerių širdelės, A kl","Broiler chicken hearts, A grade",?,35.00,2579046004306,FROZEN MEAT PRODUCTS
Alevista,"Broilerių sparneliai, šaldyti",Broiler Wings Frozen,1 kg,70.00,2596610013908,FROZEN MEAT PRODUCTS
Yano,Šaldyti kepti vištų sparneliai su prieskoniais “tex mex”,Frozen fried chicken wings with spicy Tex Mex,1 kg,70.00,5908311708361,FROZEN MEAT PRODUCTS
Kaišiadorių paukštynas,Aštrūs vištienos sparneliai,Spicy chicken wings,500g,26.00,4770276160611,FROZEN MEAT PRODUCTS
Utenos mėsa,"Galvijų kepenys, sušaldytos","Bovine liver, frozen",500g,39.00,2596572006024,FROZEN MEAT PRODUCTS
Krekenavos,"Kiaulių liežuviai su poliežuvine mėsa, sušaldyti","Swine tongues with sublingual meat, frozen",500g,92.00,2460930203878,FROZEN MEAT PRODUCTS
Vesta-Inter,"Naminės dešrelės, šviežios, užšaldytos","Homemade sausages, fresh, frozen",500g,20.00,4770536191157,FROZEN MEAT PRODUCTS
Sanitex,Šaldytas triušis su galva,Frozen rabbit head,2.062 kg,110/kg,2595048020625,FROZEN MEAT PRODUCTS
,ŠALDYTI ŽUVIES PRODUKTAI,FROZEN FISH PRODUCTS,kg,,EAN code,
Viči,"Žuvų kepsneliai, sušaldyti","Fish fillet, frozen",250g,20.00,4770190035132,FROZEN FISH PRODUCTS
Viči,"Krabų žnyplės džiūvėsėliuose (iš surimio), greitai užšaldytos","Breaded crab claws (from surimi), quick frozen",250g,22.00,4770190036900,FROZEN FISH PRODUCTS
Viči,"Krevetės iš surimio džiūvėsėliuose, sušaldytos","Shrimp from surimi, breaded, frozen",300g,32.00,4770190352338,FROZEN FISH PRODUCTS
Wilbo,"Žuvų pašteliai, sušaldyti","Fish pastels, frozen",400g,18.00,5900653640125,FROZEN FISH PRODUCTS
Sanitex,FJORD'S Argentininės jūrinės lydekos,FJORD'S Argentine hake,1 kg,55.00,4771459047897,FROZEN FISH PRODUCTS
Sanitex,FJORD'S Ilgųjų jūrinių lydekų filė,FJORD'S Long hake fillet,700g,49.00,4771459048191,FROZEN FISH PRODUCTS
Merkio,"Afrikinis šamas, skrostas, šaldytas","African catfish, dissected, frozen",~ 1 kg,110.00,2300914010989,FROZEN FISH PRODUCTS
Merkio,"Afrikinio šamo filė, šaldytas","African catfish fillets, frozen",~100-200g,200.00,2300915001467,FROZEN FISH PRODUCTS
Ekonom,Šaldytos krabų skonio surimio lazdelės,Frozen surimi crab sticks,100g,9.00,4810168002749,FROZEN FISH PRODUCTS
Santa Bremor,Šaldytos krabų skonio surimio lazdelės,Frozen surimi crab sticks,200g,18.00,4810168001933,FROZEN FISH PRODUCTS
Viči,Classic. Krabų skonio lazdelės,"Classic. Crab taste sticks (from surimi, fast frozen)",100g,9.00,4770190036085,FROZEN FISH PRODUCTS
Viči,Classic. Krabų skonio lazdelės,"Classic. Crab taste sticks (from surimi, fast frozen)",240g,20.00,4770190036108,FROZEN FISH PRODUCTS
,UŽŠALDYTAS FARŠAS,chilled farce,kg,,EAN code,
Vesta-Inter,"Kalakutienos faršas, giliai užšaldytas","Turkey stuffing, deep-frozen",500g,19.00,4770536191188,chilled farce
Vesta-Inter,"Vištienos file maltas faršas, giliai užšaldytas","Chicken fillet ground mince, deep-frozen",450g,33.00,4770536193069,chilled farce
Alekniškis,Užšaldytas jautienos faršas,Frozen beef mince,?,35.00,4770919162019,chilled farce
Alekniškis,Sušaldytas NAMINIS kiaulienos faršas,HOMEMADE Frozen pork,?,19.00,4770919162026,chilled farce
Ragnos,"Kiaulienos-jautienos faršas, sušaldytas","Pork and beef mince, frozen",500g,19.00,4771459045169,chilled farce
Sanitex,Sušaldytas lašišų faršas,Frozen salmon stuffing,1 kg,45.00,5906259701178,chilled farce
SALDUMYNAI,,,,,,
,BATONĖLIAI/ KAZINAKAI/ CHALVA,CHALVA,kg,,EAN code,
Mondelez Baltic,Šokoladinis batonėlis MANIJA su lazdyno riešutais,Chocolate bar obsession with hazelnuts,49g,6.00,7622210334312,
Mondelez Baltic,Šokoladinis batonėlis MANIJA su žemės riešutais,Chocolate bar obsession with peanuts,49g,6.00,7622210334374,
Mondelez Baltic,Šokoladinis batonėlis MANIJA su kokoso riešutais,Chocolate bar obsession with coconuts,49g,6.00,,
Mondelez Baltic,Šokoladinis batonėlis MANIJA su migdolais,Chocolate bar obsession with almonds,49g,6.00,7622210334343,
Mondelez Baltic,Šokokoladinis batonėlis MANIJA su lazdyno riešutais,Šokokoladinis bar obsession with hazelnuts,57g,8.00,,
Mondelez Baltic,Šokokoladinis batonėlis MANIJA su migdolais,Šokokoladinis bar obsession with almonds,57g,8.00,,
Mondelez Baltic,Šokoladinis batonėlis MANIJA su žemės riešutais,Chocolate bar obsession with peanuts,57g,8.00,,
Pergalė,Šokoladinis batomėlis”Nomeda” Originalinal,Chocolate batomėlis Nomeda Originalinal,44g,5.00,4770179111888,
Rūta,Šokoladas “Šokolado muziejus”,"Chocolate ""Chocolate Museum""",18g,4.00,4770123195681,
Karūna,Batonėlis “Siesta” su kokosų įdaru,"Bar ""Siesta"" with coconut filling",40g,5.00,4770100907948,
Karūna,"Batonėlis ""Siesta"" su kakavos įdaru","Bar ""Siesta"" with cocoa filling",35g,5.00,7622210262035,
Vilniaus Pergalė,Saldainis “Pupa” su kava,"Awesome ""Pupa"" with coffee",18g,4.00,4770179104712,
Vilniaus Pergalė,Saldainis “Pergalė” souffle vanilinis,"Awesome ""Victory"" vanilla souffle",28g,5.00,4770179120309,
Laima,Šokoladas “Laima” pieninis su juodojo Riga balzamo kreminiu įdaru,Chocolate Laima milk with black Riga balm creamy filling,44g,6.00,4750001819496,
Laima,Šokoladas “Laima” tamsusis su juodojo Riga balzamo kreminiu įdaru,Chocolate Laima with dark black Riga balm creamy filling,44g,6.00,4750001819502,
Laima,Marcipaninis saldainis su spanguolėmis,Marzipan candy with cranberries,45g,6.00,4750011849087,
Laima,Šokoladas “Laima” pieninis,Chocolate Laima milk,20g,3.00,4750001818789,
Laima,Šokoladinis saldainis “Voverytė”,"Chocolate candy ""Squirrel""",40g,6.00,4750001005202,
Laima,Šokoladinis saldainis “Serenade”,"Chocolate candy ""Serenade""",40g,6.00,4750001330977,
Arsenal Baltija,Chalva žemės riešutų skonio,Halva peanut flavor,150g,15.00,4770266127846,
Arsenal Baltija,Chalva saulėgrąžų,halva sunflower,150g,15.00,4770266127839,
Granex Distribution,Chalva žemės riešutų,Halva peanut,250g,25.00,4770266127259,
Granex Distribution,Žemės riešutų chalva,Peanut halva,150g,15.00,4770266129567,
Granex Distribution,Saulėgrąžų chalva,sunflower halva,150g,15.00,4770266129550,
JOMAS,Saulėgrąžų chalva,sunflower halva,200g,20.00,4779037850327,
Arsenal Baltija,Kozinakas su saulėgrąžų sėklomis,Preservation of sunflower seeds,80g,12.00,4770266128003,
Arsenal Baltija,Kozinakas su žemės riešutais,Brittle with Peanuts,80g,12.00,4770266127990,
Vilniaus Pergalė,Maisto papildas “Hematogenas” Vita+,"Dietary supplement ""Hematogenas Vita +",50g,11.00,4770407302019,
Mogemas,Maisto papildas “Hema2gen”,"Dietary supplement ""Hema2gen""",45g,11.00,4770407302064,
,SALDAINIAI/ ŠOKOLADAS,Sweets / Chocolates,kg,,EAN code,
Vilniaus Pergalė,Šokoladinis saldainis KREGŽDUTĖ (galima užsisakyti nuo 100gr),Chocolate candy KREGŽDUTĖ (available from 100gr),1kg,110.00,4770179102510,Sweets / Chocolates
Vilniaus Pergalė,Saldainiai ANANASINIAI (galima užsisakyti nuo 100gr),Candy pineapple (available from 100gr),1kg,110.00,4770179102718,Sweets / Chocolates
Vilniaus Pergalė,Saldainiai NOMEDA (galima užsisakyti nuo 100gr),Sweets NOMEDA (available from 100gr),1kg,110.00,4770179104033,Sweets / Chocolates
Naujoji Rūta,Vafliniai saldainiai EASTER (galima užsisakyti nuo 100gr),Wafer candy EASTER (available from 100gr),1kg,110.00,4770067172878,Sweets / Chocolates
Rūta,Saldainiai CAPPUCCINO,Sweets CAPPUCCINO,1 kg,110.00,4770123194905,Sweets / Chocolates
,Saldainiai BIBI,Sweets BIBI,1 kg,110.00,,Sweets / Chocolates
Vilniaus Pergalė,Šokoladinis saldainis RAUDONOJI AGUONA (galima užsisakyti nuo 100gr),Chocolate candy RED POPPY (available from 100gr),1kg,110.00,4770179123317,Sweets / Chocolates
Naujoji Rūta,Saldainiai MEŠKA ŠIAURĖJE (galima užsisakyti nuo 100gr),Candy Bear in the north (available from 100gr),1kg,110.00,4770067177590,Sweets / Chocolates
